sourceID;tp;fp;fn;Precision;Recall;F1;AP;LAG
UC1.txt;4;12;0;0.25;1.0;0.4;0.2941849816849817;6.25
UC10.txt;7;12;0;0.3684210526315789;1.0;0.5384615384615384;0.2673259280402137;10.142857142857142
UC11.txt;1;5;1;0.16666666666666666;0.5;0.25;0.2111111111111111;5.5
UC12.txt;0;5;4;0.0;0.0;0;0.14176257459505542;14.25
UC13.txt;2;7;3;0.2222222222222222;0.4;0.2857142857142857;0.23047619047619045;10.2
UC14.txt;5;16;0;0.23809523809523808;1.0;0.3846153846153846;0.18401002506265662;12.6
UC15.txt;4;6;2;0.4;0.6666666666666666;0.5;0.3622655122655123;5.5
UC16.txt;3;7;1;0.3;0.75;0.4285714285714285;0.29210164835164837;5.75
UC17.txt;7;6;5;0.5384615384615384;0.5833333333333334;0.5599999999999999;0.369399759060776;23.333333333333332
UC18.txt;4;3;1;0.5714285714285714;0.8;0.6666666666666666;0.726190476190476;16.4
UC19.txt;5;7;4;0.4166666666666667;0.5555555555555556;0.4761904761904762;0.24440672040883016;31.0
UC2.txt;6;8;0;0.42857142857142855;1.0;0.6;0.7002645502645503;3.8333333333333335
UC20.txt;7;6;5;0.5384615384615384;0.5833333333333334;0.5599999999999999;0.41410326582740375;23.666666666666668
UC21.txt;5;5;2;0.5;0.7142857142857143;0.588235294117647;0.395236196551986;5.714285714285714
UC22.txt;4;6;1;0.4;0.8;0.5333333333333333;0.2848484848484848;7.8
UC23.txt;6;5;1;0.5454545454545454;0.8571428571428571;0.6666666666666665;0.42627808699237274;5.714285714285714
UC24.txt;0;4;10;0.0;0.0;0;0.153968888594547;28.3
UC25.txt;0;4;3;0.0;0.0;0;0.0334148159705969;56.0
UC26.txt;0;4;2;0.0;0.0;0;0.22619047619047616;5.0
UC27.txt;1;4;0;0.2;1.0;0.33333333333333337;0.2;4.0
UC28.txt;4;8;1;0.3333333333333333;0.8;0.47058823529411764;0.28845864661654136;10.4
UC29.txt;0;2;1;0.0;0.0;0;0.2;4.0
UC3.txt;6;12;0;0.3333333333333333;1.0;0.5;0.5966422466422466;3.8333333333333335
UC30.txt;4;9;0;0.3076923076923077;1.0;0.47058823529411764;0.5404761904761904;3.5
UC31.txt;3;1;0;0.75;1.0;0.8571428571428571;0.8055555555555555;0.6666666666666666
UC32.txt;0;1;2;0.0;0.0;0;0.26666666666666666;4.0
UC33.txt;0;0;6;1.0;0.0;0.0;0.10609595292101598;35.666666666666664
UC34.txt;3;11;2;0.21428571428571427;0.6;0.3157894736842105;0.2649602369683505;25.8
UC35.txt;0;0;4;1.0;0.0;0.0;0.43465909090909094;3.75
UC36.txt;0;1;2;0.0;0.0;0;0.23809523809523808;7.0
UC37.txt;0;0;0;1.0;1.0;1.0;0;0
UC38.txt;5;5;5;0.5;0.5;0.5;0.4586857872613022;6.4
UC39.txt;6;5;4;0.5454545454545454;0.6;0.5714285714285713;0.5317534317534316;6.9
UC4.txt;8;6;1;0.5714285714285714;0.8888888888888888;0.6956521739130435;0.44268915543425347;6.222222222222222
UC40.txt;4;7;3;0.36363636363636365;0.5714285714285714;0.4444444444444444;0.39807137307137314;11.428571428571429
UC41.txt;4;3;2;0.5714285714285714;0.6666666666666666;0.6153846153846153;0.5945454545454546;7.0
UC42.txt;4;3;2;0.5714285714285714;0.6666666666666666;0.6153846153846153;0.5554657760540113;4.666666666666667
UC43.txt;7;8;0;0.4666666666666667;1.0;0.6363636363636364;0.47798925212718313;7.285714285714286
UC44.txt;3;6;0;0.3333333333333333;1.0;0.5;0.3206349206349206;4.0
UC45.txt;1;4;3;0.2;0.25;0.22222222222222224;0.17734593837535012;17.25
UC46.txt;6;9;0;0.4;1.0;0.5714285714285715;0.629846256684492;5.0
UC47.txt;7;5;0;0.5833333333333334;1.0;0.7368421052631579;0.7472789115646259;2.142857142857143
UC48.txt;5;8;0;0.38461538461538464;1.0;0.5555555555555556;0.821111111111111;1.2
UC49.txt;1;7;5;0.125;0.16666666666666666;0.14285714285714288;0.27472641441101625;35.166666666666664
UC5.txt;4;13;0;0.23529411764705882;1.0;0.38095238095238093;0.16172542735042733;12.25
UC50.txt;3;12;4;0.2;0.42857142857142855;0.27272727272727276;0.25155690346313964;12.142857142857142
UC51.txt;4;12;1;0.25;0.8;0.38095238095238093;0.3109477124183006;7.4
UC52.txt;6;9;0;0.4;1.0;0.5714285714285715;0.4045576563958917;5.833333333333333
UC53.txt;1;12;5;0.07692307692307693;0.16666666666666666;0.10526315789473684;0.20759411316013818;14.833333333333334
UC54.txt;1;8;7;0.1111111111111111;0.125;0.11764705882352941;0.26158209260347;12.625
UC55.txt;0;0;3;1.0;0.0;0.0;0.07342032967032967;43.333333333333336
UC56.txt;2;1;2;0.6666666666666666;0.5;0.5714285714285715;0.4976851851851851;13.25
UC57.txt;1;16;0;0.058823529411764705;1.0;0.1111111111111111;0.047619047619047616;20.0
UC58.txt;0;8;4;0.0;0.0;0;0.056659415904273654;49.75
UC6.txt;3;17;0;0.15;1.0;0.2608695652173913;0.2880952380952381;5.666666666666667
UC7.txt;4;17;0;0.19047619047619047;1.0;0.32;0.7333333333333333;1.25
UC8.txt;5;15;0;0.25;1.0;0.4;0.32212121212121214;7.0
UC9.txt;7;11;1;0.3888888888888889;0.875;0.5384615384615385;0.3110232391482392;11.25
